date,close
2025-01-01,4802.10
2025-01-02,4815.30
2025-01-03,4820.70
2025-01-06,4838.50
2025-01-07,4855.20
2025-01-08,4870.90
2025-01-09,4885.40
2025-01-10,4900.60
2025-01-13,4912.80
2025-01-14,4920.10
2025-01-15,4925.30
2025-01-16,4918.70
2025-01-17,4908.90
2025-01-20,4915.20
2025-01-21,4920.80
2025-01-22,4910.40
2025-01-23,4898.90
2025-01-24,4902.10
2025-01-27,4890.60
2025-01-28,4895.30
2025-01-29,4900.80
2025-01-30,4892.40
2025-01-31,4895.10
2025-02-03,4888.70
2025-02-04,4878.20
2025-02-05,4880.50
2025-02-06,4890.10
2025-02-07,4882.80
2025-02-10,4895.20
2025-02-11,4905.90
2025-02-12,4918.30
2025-02-13,4925.10
2025-02-14,4915.70
2025-02-17,4908.20
2025-02-18,4915.50
2025-02-19,4925.10
2025-02-20,4920.80
2025-02-21,4930.20
2025-02-24,4940.90
2025-02-25,4950.30
2025-02-26,4960.10
2025-02-27,4955.70
2025-02-28,4948.20
2025-03-03,4955.50
2025-03-04,4965.10
2025-03-05,4960.80
2025-03-06,4970.20
2025-03-07,4980.90
2025-03-10,4990.30
2025-03-11,5000.10
2025-03-12,4995.70
2025-03-13,4988.20
2025-03-14,4995.50
2025-03-17,5005.10
2025-03-18,5000.80
2025-03-19,5010.20
2025-03-20,5020.90
2025-03-21,5030.30
2025-03-24,5040.10
2025-03-25,5035.70
2025-03-26,5028.20
2025-03-27,5035.50
2025-03-28,5045.10
2025-03-31,5039.80
2025-04-01,5030.80
2025-04-02,5015.20
2025-04-03,5000.90
2025-04-04,4985.30
2025-04-07,4970.10
2025-04-08,4955.70
2025-04-09,4940.20
2025-04-10,4925.50
2025-04-11,4910.10
2025-04-14,4895.70
2025-04-15,4880.20
2025-04-16,4865.50
2025-04-17,4850.10
2025-04-18,4835.70
2025-04-21,4820.20
2025-04-22,4805.50
2025-04-23,4790.10
2025-04-24,4775.70
2025-04-25,4760.20
2025-04-28,4745.50
2025-04-29,4730.10
2025-04-30,4715.70
2025-05-01,4700.20
2025-05-02,4685.50
2025-05-05,4670.10
2025-05-06,4655.70
2025-05-07,4640.20
2025-05-08,4625.50
2025-05-09,4610.10
2025-05-12,4595.70
2025-05-13,4580.20
2025-05-14,4565.50
2025-05-15,4550.10
2025-05-16,4535.70
2025-05-19,4520.20
2025-05-20,4528.90
2025-05-21,4540.50
2025-05-22,4555.10
2025-05-23,4565.70
2025-05-27,4580.20
2025-05-28,4595.50
2025-05-29,4610.10
2025-05-30,4625.70
2025-06-02,4640.20
2025-06-03,4655.50
2025-06-04,4670.10
2025-06-05,4685.70
2025-06-06,4700.20
2025-06-09,4715.50
2025-06-10,4730.10
2025-06-11,4745.70
2025-06-12,4760.20
2025-06-13,4775.50
2025-06-16,4790.10
2025-06-17,4805.70
2025-06-18,4820.20
2025-06-19,4835.50
2025-06-20,4850.10
2025-06-23,4865.70
2025-06-24,4880.20
2025-06-27,4895.50
2025-06-30,4910.10
